id,description,fr
action.action,Label for action button in dropdown menu,Action
action.archive,Label for archive record button in dropdown menu,Déclaration d'archive
action.assign.label,,Attribuer
action.assignee,Label for assignee,Attribué à {name} chez {officeName}
action.correct,Label for correct record button in dropdown menu,Enregistrement correct
action.issue,Label for issue certificate in dropdown menu,Délivrer un certificat
action.noActionsAvailable,No actions available message,Aucune action disponible
action.print,Label for print certified copy in dropdown menu,Imprimer une copie certifiée
action.reinstate,Label for reinstate record button in dropdown menu,Déclaration de rétablissement
action.review.correction,Label for review correction request button in dropdown menu,Vérifier la demande de correction
action.review.declaration,Label for review record button in dropdown menu,"Review {isDuplicate, select, true{doublon potentiel} other{déclaration}}"
action.unassign.label,,Désassigner
action.update,Label for update record button in dropdown menu,Mettre à jour la déclaration
action.view,Label for view button in dropdown menu,"voir {recordOrDeclaration, select, record{enregistrer} other{déclaration}}"
actionModal.cancel,The label for cancel button of action modal,Annuler
actionModal.confirm,The label for confirm button of action modal,Confirmer
actionModal.description,The description for action modal,L'informateur sera informé de cette décision et celle-ci sera consignée dans un dossier.
actions.edit,Edit action label,Modifier
actions.notify,Notify action label,Notifier
actions.read,Action label for reading a record from the workqueue,Reviser
advancedSearch.accordion.hide,Label for hide button when accordion is closed,Cacher
advancedSearch.accordion.show,Label for show button when accordion is closed,Voir
advancedSearch.form.childDetails,The title of Child details accordion,information de l'enfant
advancedSearch.form.dateOfRegistration,Label for input date of registration,Date d'enregistrement
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,information du défunt
advancedSearch.form.eventDetails,The title of event details accordion,Détails de l'évènement
advancedSearch.form.fatherDetails,The title of Father details accordion,Information du père
advancedSearch.form.informantDetails,The title informant details form,information de l'informateur
advancedSearch.form.motherDetails,The title of Mother details accordion,Information de la mère
advancedSearch.form.placeOfRegistration,Label for input Place of registration,Lieu d'enregistrement
advancedSearch.form.placeOfRegistrationHelperText,Helper text for input Place of registration,"Rechercher une province, un district ou un bureau d'enregistrement"
advancedSearch.form.recordStatusAchived,Option for form field: status of record,Archivé
advancedSearch.form.recordStatusAny,Option for form field: status of record,Tout statut
advancedSearch.form.recordStatusArchived,Option for form field: status of record,Archivé
advancedSearch.form.recordStatusCertified,Option for form field: status of record,Agréé
advancedSearch.form.recordStatusCorrectionRequested,Option for form field: status of record,Correction demandée
advancedSearch.form.recordStatusDeclared,Option for form field: status of record,Déclaré
advancedSearch.form.recordStatusInReview,Option for form field: status of record,En cours d'examen
advancedSearch.form.recordStatusInprogress,Option for form field: status of record,En cours
advancedSearch.form.recordStatusNotified,Option for form field: status of record,Notifié
advancedSearch.form.recordStatusRegistered,Option for form field: status of record,Inscrit
advancedSearch.form.recordStatusRequireUpdate,Option for form field: status of record,Nécessite des mises à jour
advancedSearch.form.recordStatusValidated,Option for form field: status of record,Validé
advancedSearch.form.registrationDetails,The title of Registration details accordion,Détails d'inscription
advancedSearch.form.statusOfRecordLabel,Label for input Status of record,Etat d'avancement du dossier
advancedSearch.form.timePeriodHelperText,Helper text for input Time period,Période écoulée depuis le changement de statut de l'enregistrement
advancedSearch.form.timePeriodLabel,Label for input Time period,Période de temps
advancedSearch.registeredAt,Label for date of registration field,Date d'enregistrement
advancedSearch.registeredAtLocation,Label for place of registration field,Lieu d'enregistrement
advancedSearch.registeredAtLocation.helperText,Helper text for place of registration field,"Rechercher une province, un district ou un bureau d'enregistrement"
advancedSearch.registrationNumber,Label for registration number field,Numéro d'enregistrement
advancedSearch.status,Label for status field,Statut de l'enregistrement
advancedSearch.trackingId,Label for tracking ID field,ID de suivi
advancedSearch.updatedAt,Label for date of update field,Période
advancedSearch.updatedAt.helperText,Helper text for date of update field,Période écoulée depuis le changement de statut de l'enregistrement
advancedSearchResult.pill.childDoB,The label for child d.o.b in active advancedSearchParams,Date de naissance enfant
advancedSearchResult.pill.childFirstName,The label for child firstname in active advancedSearchParams,Prénom de l'enfant
advancedSearchResult.pill.childLastName,The label for child lastname in active advancedSearchParams,Nom de l'enfant
advancedSearchResult.pill.deceasedDoB,The label for deceased d.o.b in active advancedSearchParams,Date de naissance du défunt
advancedSearchResult.pill.deceasedFirstName,The label for deceased firstname in active advancedSearchParams,Prénom du défunt
advancedSearchResult.pill.deceasedLastName,The label for deceased lastname in active advancedSearchParams,Nom de famille du défunt
advancedSearchResult.pill.event,The label for event param in active advancedSearchParams,Événement
advancedSearchResult.pill.eventDate,The label for event date param in active advancedSearchParams,Date de l'événement
advancedSearchResult.pill.eventLocation,The label for event location in active advancedSearchParams,Lieu de l'événement
advancedSearchResult.pill.fatherDoB,The label for father d.o.b in active advancedSearchParams,Date de naissance du père
advancedSearchResult.pill.fatherFirstName,The label for father firstname in active advancedSearchParams,Prénom du père
advancedSearchResult.pill.fatherLastName,The label for father lastname in active advancedSearchParams,Nom de famille du père
advancedSearchResult.pill.gender,The label for gender in active advancedSearchParams,Le genre
advancedSearchResult.pill.informantDoB,The label for informant d.o.b in active advancedSearchParams,Date de naissance de l'informateur
advancedSearchResult.pill.informantFirstName,The label for informant firstname in active advancedSearchParams,Prénom de l'informateur
advancedSearchResult.pill.informantLastName,The label for informant lastname in active advancedSearchParams,Nom de l'informateur
advancedSearchResult.pill.motherDoB,The label for mother d.o.b in active advancedSearchParams,Date de naissance mère
advancedSearchResult.pill.motherFirstName,The label for mother firstname in active advancedSearchParams,Mère Prénom
advancedSearchResult.pill.motherLastName,The label for mother lastname in active advancedSearchParams,Nom de famille de la mère
advancedSearchResult.pill.regDate,The label for  registration date in active advancedSearchParams,Date d'inscription
advancedSearchResult.pill.regLocation,The label for event location in active advancedSearchParams,Emplacement
advancedSearchResult.pill.regNumber,The label for registration number in active advancedSearchParams,Numéro d'enregistrement
advancedSearchResult.pill.registationStatus,The label for registration Status param in active advancedSearchParams,Statut d'enregistrement
advancedSearchResult.pill.timePeriod,The label for time period in active advancedSearchParams,Période de temps
advancedSearchResult.pill.trackingId,The label for tracking id in active advancedSearchParams,Identifiant de suivi
advancedSearchResult.table.noResult,The label for no result in advancedSearchResult page,Pas de résultat
advancedSearchResult.table.searchResult,The label for search result header in advancedSearchResult page,Résultat de la recherche
buttons.add,Add button text on form config,Ajouter
buttons.apply,Apply button label,Appliquer
buttons.approve,Approve button text,Approuver
buttons.archive,Archive button text,Archiver
buttons.assign,Assign button label,Affecter
buttons.back,Back button text,Retour
buttons.backToReview,Back to review button text,Retour à la revue
buttons.cancel,Cancel button text in the modal,Annuler
buttons.change,The label for the change button,Modifier
buttons.changeAll,The label for the change all button,Changer tous
buttons.closeDeclaration,Close declaration button text,Clôturer la déclaration
buttons.configure,Configure button text,Paramétrer
buttons.confirm,Label used for confirm button,Confirmer
buttons.continue,Label used for continue button,Continuer
buttons.copied,Copied button text,Copié
buttons.copy,Copy button text,Copier
buttons.correctRecord,Record corrected button text,Correct record
buttons.create,Label for submit button of client integration creation form,Créer
buttons.delete,Delete button,Supprimer
buttons.deleteDeclaration,The label for the delete declaration button,Supprimer la déclaration
buttons.edit,Edit button text,Modifier
buttons.editRecord,Correct record button text on review certificate,"Non, faites la correction"
buttons.editRegistration,Edit registration button text,Modifier l'enregistrement
buttons.exactDateUnknown,Label for DateRangePickerForFormField components daterangepicker toggle button,Date exacte inconnue
buttons.exit,The label for the exit button,Quitter
buttons.finish,The label for finish printing certificate button,Terminer
buttons.forgotPassword,The label for forgot password button,Mot de passe oublié
buttons.forgottenPIN,The label for forgotten pin button,Code d'accès oublié
buttons.goToHomePage,Label for Go to Homepage button,Retour à la page d'accueil
buttons.issue,Button for issuing,Délivrer
buttons.login,The title that appears in step one of the form,Connexion
buttons.logout,logout title,Déconnexion
buttons.makeCorrection,Make correction button text on correction summary,Faire une correction
buttons.next,The label for next button,Suivant
buttons.no,No button text,Non
buttons.preview,Preview button,Aperçu
buttons.print,,Imprimer
buttons.printDeclaration,Print declaration button text,Imprimer la déclaration
buttons.publish,Publish button text on form config,Publier
buttons.refresh,Refresh button,Rafraîchir
buttons.register,Label for button on register confirmation modal,Enregistrer
buttons.reinstate,Label for reinstate button,Rétablir
buttons.reject,A label for reject link,Rejeter
buttons.rejectDeclaration,Reject declaration button text,Rejeter la déclaration
buttons.replace,Label for replacing the whole section in review form,Modifier tout
buttons.retry,The title of retry button for failed declaration,Réessayer
buttons.review,Review button text,Reviser
buttons.save,Save Button Text,Sauvegarder
buttons.saveAndExit,Save & exit Button Text,Sauvegarder et quitter
buttons.saveExit,The label for the save and exit button,Enregistrer et quitter
buttons.saving,Saving Button Text,Sauvegarde en cours
buttons.search,Label for search button,Rechercher
buttons.select,The select title,Sélectionnez
buttons.send,Submit button on submit modal,Soumettre
buttons.sendForApproval,Title for complete submit button,Envoyer pour approbation
buttons.sendForReview,Submit Button Text,Envoyer pour révision
buttons.sendForUpdates,,Envoyer pour les mises à jour
buttons.sendIncomplete,Title for Incomplete submit button,Envoyer pour révision
buttons.settings,Menu item settings,Paramètres
buttons.start,Label of start button,Démarrer
buttons.status,Label of status button,Statut
buttons.submitCorrectionRequest,Submit correction request button text,Soumettre une demande de correction
buttons.unassign,Unassign button label,Désaffecter
buttons.update,The title of update button for draft declaration,Mise à jour
buttons.upload,Upload buttton,Télécharger
buttons.verify,Label for verify password button,Vérifier
buttons.view,Label for link button view,Voir
buttons.yes,Yes button text,Oui
certificate.confirmCorrect,Edit,Veuillez confirmer que l'informateur a vérifié que les informations figurant sur le certificat sont correctes et que vous êtes prêt à imprimer.
